Year,Team,Result
2020,Los Angeles Lakers,4-2
2019,Toronto Raptors,4-2
2018,Golden State Warriors,4-0
2017,Golden State Warriors,4-1
2016,Cleveland Cavaliers,4-3
2015,Golden State Warriors,4-2
2014,San Antonio Spurs,4-1
2013,Miami Heat,4-3
2012,Miami Heat,4-1
2011,Dallas Mavericks,4-2
2010,Los Angeles Lakers,4-3
2009,Los Angeles Lakers,4-1
2008,Boston Celtics,4-2
2007,San Antonio Spurs,4-0
2006,Miami Heat,4-2
2005,San Antonio Spurs,4-3
2004,Detroit Pistons,4-1
2003,San Antonio Spurs,4-2
2002,Los Angeles Lakers,4-0
2001,Los Angeles Lakers,4-1
2000,Los Angeles Lakers,4-2
