Year,ID,Playoff Wins,Playoff Losses,Playoff Win %,PF Playoffs,PA Playoffs,Playoff Point Differential
2019-20,1610612747,16,5,76.2,112.8,106.0,6.8
2018-19,1610612761,16,8,66.7,106.6,101.1,5.5
2017-18,1610612744,16,5,76.2,110.4,100.4,10.0
2016-17,1610612744,16,1,94.1,119.3,105.8,13.5
2015-16,1610612739,16,5,76.2,104.8,96.1,8.7
2014-15,1610612744,16,5,76.2,103.3,95.5,7.8
2013-14,1610612759,16,7,69.6,106.3,97.0,9.3
2012-13,1610612748,16,7,69.6,97.1,90.7,6.4
2011-12,1610612748,16,7,69.6,97.3,90.3,7.0
2010-11,1610612742,16,5,76.2,98.2,92.5,5.7
2009-10,1610612747,16,7,69.6,101.1,97.3,3.8
2008-09,1610612747,16,7,69.6,102.4,95.2,7.2
2007-08,1610612738,16,10,61.5,94.0,88.8,5.2
2006-07,1610612759,16,4,80.0,95.7,91.7,4.0
2005-06,1610612748,16,7,69.6,96.3,92.5,3.8
2004-05,1610612759,16,7,69.6,96.9,92.6,4.3
2003-04,1610612765,16,7,69.6,87.1,80.7,6.4
2002-03,1610612759,16,8,66.7,94.8,89.3,5.5
2001-02,1610612747,15,4,78.9,97.8,94.1,3.7
2000-01,1610612747,15,1,93.8,103.4,90.6,12.8
1999-00,1610612747,15,8,65.2,99.8,97.4,2.4
