Team_Name,Hex_1,Hex_2,Hex_3,Hex_4,Hex_5,Hex_6
Miami Heat Colors,#98002e,#f9a01b,#000000,,,
Los Angeles Lakers Colors,#552583,#f9a01b,#000000,,,
Boston Celtics Colors,#007a33,#ba9653,#963821,,,
Los Angeles Clippers Colors,#c8102e,#1d428a,#bec0c2,#000000,,
Brooklyn Nets Colors,#000000,#ffffff,,,,
Charlotte Hornets Colors,#1d1160,#00788c,#a1a1a4,,,
Chicago Bulls Colors,#ce1141,#000000,,,,
Atlanta Hawks Colors,#e03a3e,#c1d32f,#26282a,,,
Phoenix Suns Colors,#1d1160,#e56020,#000000,#63727a,#b95915,#bec0c2
Dallas Mavericks Colors,#00538c,#002b5e,#b8c4ca,#000000,,
Denver Nuggets Colors,#0e2240,#fec524,#8b2131,#1d428a,,
Detroit Pistons Colors,#c8102e,#1d42ba,#bec0c2,#002d62,,
Golden State Warriors Colors,#1d428a,#ffc72c,,,,
Houston Rockets Colors,#ce1141,#000000,#c4ced4,,,
Indiana Pacers Colors,#002d62,#fdbb30,#bec0c2,,,
Memphis Grizzlies Colors,#5d76a9,#12173f,#f5b112,#707271,,
Milwaukee Bucks Colors,#00471b,#eee1c6,#0077c0,#000000,,
Minnesota Timberwolves Colors,#0c2340,#236192,#9ea2a2,#78be20,,
New Orleans Pelicans Colors,#0c2340,#c8102e,#85714d,,,
New York Knicks Colors,#006bb6,#f58426,#bec0c2,#000000,,
Oklahoma City Thunder Colors,#007ac1,#ef3b24,#002d62,#fdbb30,,
Orlando Magic Colors,#0077c0,#c4ced4,#000000,,,
Philadelphia 76ers Colors,#006bb6,#ed174c,#002b5c,#c4ced4,,
Portland Trail Blazers Colors,#e03a3e,#000000,,,,
Sacramento Kings Colors,#5a2d81,#63727a,#000000,,,
San Antonio Spurs Colors,#c4ced4,#000000,,,,
Toronto Raptors Colors,#ce1141,#000000,#a1a1a4,#b4975a,,
Utah Jazz Colors,#002b5c,#00471b,#f9a01b,,,
Cleveland Cavaliers Colors,#860038,#041e42,#fdbb30,#000000,,
Washington Wizards Colors,#002b5c,#e31837,#c4ced4,,,
